Loan ID,Customer ID,Current Loan Amount,Term,Credit Score,Annual Income,Years in current job,Home Ownership,Purpose,Monthly Debt,Years of Credit History,Months since last delinquent,Number of Open Accounts,Number of Credit Problems,Current Credit Balance,Maximum Open Credit,Bankruptcies,Tax Liens,Random_Name,Random_Phone_Number
f738779f-c726-40dc-92cf-689d73af533d,ded0b3c3-6bf4-4091-8726-47039f2c1b90,611314.0,Short Term,747.0,2074116.0,10+ years,Home Mortgage,Debt Consolidation,42000.83,21.8,,9.0,0.0,621908.0,1058970.0,0.0,0.0,Gregory Perez,411-559-6164
6dcc0947-164d-476c-a1de-3ae7283dde0a,1630e6e3-34e3-461a-8fda-09297d3140c8,266662.0,Short Term,734.0,1919190.0,10+ years,Home Mortgage,Debt Consolidation,36624.4,19.4,,11.0,0.0,679573.0,904442.0,0.0,0.0,Lauren Brown,638-658-7736
f7744d01-894b-49c3-8777-fc6431a2cff1,2c60938b-ad2b-4702-804d-eeca43949c52,153494.0,Short Term,709.0,871112.0,2 years,Rent,Debt Consolidation,8391.73,12.5,10.0,10.0,0.0,38532.0,388036.0,0.0,0.0,Keith Williams,492-396-8689
83721ffb-b99a-4a0f-aea5-ef472a138b41,12116614-2f3c-4d16-ad34-d92883718806,176242.0,Short Term,727.0,780083.0,10+ years,Rent,Debt Consolidation,16771.87,16.5,27.0,16.0,1.0,156940.0,531322.0,1.0,0.0,Donna Mcdaniel,557-276-8668
08f3789f-5714-4b10-929d-e1527ab5e5a3,39888105-fd5f-4023-860a-30a3e6f5ccb7,321992.0,Short Term,744.0,1761148.0,10+ years,Home Mortgage,Debt Consolidation,39478.77,26.0,44.0,14.0,0.0,359765.0,468072.0,0.0,0.0,Molly Miller,383-708-8507
a4957169-d809-44cc-847b-975400bc8d11,6878d414-6a22-4712-ae43-9b3f798e463a,202928.0,Short Term,741.0,760380.0,1 year,Rent,Debt Consolidation,6526.69,13.8,,6.0,0.0,258647.0,476872.0,0.0,0.0,Amanda Palmer,650-551-4255
43467302-94fe-494b-b52f-3fd891fea71c,48113a98-a4a0-4956-b57d-f0ce344826fb,621786.0,Long Term,733.0,1783606.0,10+ years,Home Mortgage,Debt Consolidation,36563.98,15.3,,42.0,0.0,281599.0,1449162.0,0.0,0.0,Michael Patterson,231-737-3358
930c7cb3-6086-434a-9547-3ed41c181552,19941661-98e2-4800-93c9-a0e92057c813,266794.0,Long Term,,,< 1 year,Own Home,Debt Consolidation,12336.89,5.8,,9.0,0.0,233206.0,342232.0,0.0,0.0,Troy Jordan,615-206-3077
0b2f1b66-741e-4e37-a929-99926cdc9e9a,6a1adeda-079b-49e5-ac7c-91828f2806a0,202466.0,Short Term,736.0,1068617.0,5 years,Rent,Debt Consolidation,18745.21,20.5,,2.0,0.0,0.0,0.0,0.0,0.0,Carl Nicholson,379-808-3222
d08f3a5e-93df-40e7-bdd8-cba59180bddf,4080a828-a61a-4f04-a627-397f4319500c,266288.0,Long Term,683.0,2031518.0,2 years,Rent,Debt Consolidation,12443.1,24.4,56.0,8.0,2.0,31445.0,251130.0,2.0,0.0,Morgan Newman,101-598-8734
3102b699-a2d2-4df4-9c33-005dc41e3525,8116b23d-aad4-436f-9666-e99b28c21b05,121110.0,Short Term,,,< 1 year,Rent,Debt Consolidation,10749.44,19.2,52.0,4.0,0.0,102087.0,198330.0,0.0,0.0,Margaret Hendricks,866-500-4679
663ad9a3-4691-4f8c-90c6-75a5f4f0b34f,8ec9f388-a275-40ee-9edc-82dec9f978c3,258104.0,Short Term,723.0,1284514.0,7 years,Rent,Debt Consolidation,6368.99,14.6,64.0,12.0,0.0,128402.0,266904.0,0.0,0.0,Cathy King,982-637-5139
1e277d73-10b5-475f-8538-2a5a09d62c8d,db6fb330-9742-4738-a35f-810f9573684c,161722.0,Short Term,680.0,504374.0,7 years,Rent,other,6094.63,9.5,,13.0,0.0,167903.0,388828.0,0.0,0.0,Pamela Shelton,966-948-2413
79d992b7-0aa7-4059-a10b-3d416809d77e,3baae7fe-d27a-40af-9289-2b4626c0893f,753016.0,Long Term,,,5 years,Home Mortgage,Debt Consolidation,9627.49,21.7,21.0,9.0,0.0,384522.0,657646.0,0.0,0.0,Erik Yoder,475-832-1415
c3c63911-be01-410b-a20a-85cb9bb83712,622add56-97b2-4067-88c7-55eafff12017,444664.0,Short Term,,,5 years,Rent,Debt Consolidation,22817.86,17.9,8.0,25.0,0.0,318953.0,971872.0,0.0,0.0,Tiffany Rose,220-768-8052
a913063f-af67-4a8d-b663-e83b9085180d,4f8389cd-2ac7-40f6-a2bc-5c545838953f,172282.0,Short Term,696.0,669560.0,3 years,Home Mortgage,Debt Consolidation,17966.78,18.2,,16.0,0.0,431490.0,999262.0,0.0,0.0,Sean Stanton,265-927-5760
e326b52a-66a2-4155-925a-91dcefa97c8a,8c49e3f3-bf36-434d-a518-145c825d9455,275440.0,Short Term,729.0,1236976.0,6 years,Rent,Debt Consolidation,21647.08,35.8,,13.0,0.0,151088.0,264242.0,0.0,0.0,Donna Ramos,640-401-7343
add946a5-20a5-4211-bf22-408525123b1d,163b8125-8f24-4b8f-ba59-23ea017f5b48,218834.0,Short Term,742.0,1077262.0,3 years,Own Home,Home Improvements,19390.64,24.5,29.0,37.0,0.0,212800.0,502876.0,0.0,0.0,Connie Mitchell,114-579-7373
cb6f7b00-62e7-4e18-8e73-73e60396e270,ce6fc244-b9a8-44b8-95f4-61c41ed5d03b,99999999.0,Short Term,715.0,442339.0,< 1 year,Rent,Debt Consolidation,14007.18,17.0,25.0,14.0,0.0,65474.0,284966.0,0.0,0.0,Natasha Le,842-308-6200
e6246fe9-6b7b-448c-a817-f91b58199e32,bcace9c1-a4c0-4d6d-9582-fa2026c3fc0b,99999999.0,Long Term,715.0,694526.0,8 years,Rent,Debt Consolidation,4358.22,17.3,47.0,5.0,0.0,137332.0,272734.0,0.0,0.0,Sara Mckenzie,820-358-9589
ebefe6f6-41d6-4903-a694-7e98d69ab755,bd73b695-0960-4c46-a723-4a4cc67135eb,346610.0,Short Term,744.0,2245116.0,2 years,Home Mortgage,Debt Consolidation,24134.94,17.6,68.0,14.0,0.0,729695.0,1307922.0,0.0,0.0,Erica Campbell,898-548-5635
eda0e007-b2b1-486a-b4ce-58adefd6c0bd,6518287d-d7df-4cba-8093-4abea80fb718,99999999.0,Short Term,747.0,1394676.0,5 years,Home Mortgage,Other,5834.33,31.9,,7.0,0.0,164350.0,569778.0,0.0,0.0,Rhonda Grimes,547-831-9891
82bf9406-2a78-4db2-ac3f-05b024cfbb54,63e691e6-bf28-48fc-9f54-3bc72945a9bb,219648.0,Long Term,722.0,682898.0,10+ years,Home Mortgage,Debt Consolidation,18893.79,15.5,,8.0,0.0,347396.0,553300.0,0.0,0.0,Stephanie Howard,870-338-7602
5dfdc862-7427-4cb7-ae6a-a6b8c9f9eae2,61d66434-3514-4f9f-acb6-0ccdee208265,334620.0,Short Term,740.0,963300.0,10+ years,Home Mortgage,Debt Consolidation,16536.65,16.4,55.0,17.0,0.0,330581.0,843128.0,0.0,0.0,Timothy Prince,783-241-8069
c5dca97f-d869-458b-ad84-b12093926dd4,85e3fb12-9733-40d0-ba40-c4c70a4d676f,219868.0,Short Term,736.0,683582.0,6 years,Own Home,Debt Consolidation,9057.49,9.6,,8.0,0.0,121467.0,215380.0,0.0,0.0,Suzanne Gutierrez,119-690-1699
0905734d-fa9f-42fe-a612-b653393ef027,c97bf871-37f7-4e65-bb79-c6eaa1d2f0b2,222816.0,Long Term,708.0,990185.0,4 years,Home Mortgage,Debt Consolidation,6031.93,17.5,,8.0,1.0,125020.0,343860.0,1.0,0.0,Caleb Herrera,547-943-6711
10d9c56c-56f9-4a82-ad94-e95ecc25a58a,aae249a1-98dc-4423-bc3f-63142c9ad00d,108416.0,Short Term,,,10+ years,Rent,Debt Consolidation,41882.46,20.4,,11.0,0.0,827051.0,1003816.0,0.0,0.0,Ruben Lewis,518-955-4588
